level	rank	word	coverage_perc	coverage_perc_str
Advanced	1730	冷凍	89.13173472601116	89.13%
Advanced	1743	餅	89.17171760060293	89.17%
Advanced	1756	精神	89.2205462439097	89.22%
Advanced	1769	侍	89.27291319470244	89.27%
Advanced	1782	何に	89.31572671528302	89.32%
Advanced	1795	シンプル	89.35004829789719	89.35%
Advanced	1808	背景	89.41444549414234	89.41%
Advanced	1821	鼻水	89.46752010643229	89.47%
Advanced	1834	抱える	89.50573382728105	89.51%
Advanced	1847	辞書	89.55279331684483	89.55%
Advanced	1860	ボールペン	89.59454534517958	89.59%
Advanced	1873	細長い	89.62639011255355	89.63%
Advanced	1886	現在	89.66071169516773	89.66%
Advanced	1899	ゆとり	89.73466232162507	89.73%
Advanced	1912	失敗	89.78172181118883	89.78%
Advanced	1925	よっぽど	89.85425711465179	89.85%
Advanced	1938	作れる	89.88716337427155	89.89%
Advanced	1951	記念	89.93174604859512	89.93%
Advanced	1964	大雨	89.9512067397681	89.95%
Advanced	1977	挑戦	89.97349807692989	89.97%
Advanced	1990	じゃん	90.01984990499643	90.02%
Advanced	2003	LINE	90.0916775469622	90.09%
Advanced	2016	海苔	90.10476928466038	90.1%
Advanced	2029	丼	90.13696788278295	90.14%
Advanced	2042	相談	90.17376628063732	90.17%
Advanced	2055	まい	90.25054755308346	90.25%
Advanced	2068	晴れる	90.28663828944062	90.29%
Advanced	2081	木こり	90.30326833462482	90.3%
Advanced	2094	室	90.34820483969698	90.35%
Advanced	2107	都合	90.40623308246734	90.41%
Advanced	2120	差す	90.43312421936092	90.43%
Advanced	2133	ロボット	90.45223107978529	90.45%
Advanced	2146	おる	90.51025932255564	90.51%
Advanced	2159	月給	90.5743026880522	90.57%
Advanced	2172	スポンジ	90.60402447093456	90.6%
Advanced	2185	敷く	90.62525431585055	90.63%
Advanced	2198	メンバー	90.66240654445352	90.66%
Advanced	2211	ボウリング	90.71194284925748	90.71%
Advanced	2224	晴れ	90.77952452224004	90.78%
Advanced	2237	海老	90.78341666047464	90.78%
Advanced	2250	ピョコピョコ	90.8053541668878	90.81%
Advanced	2263	戦い	90.83719893426179	90.84%
Advanced	2276	なるべく	90.88072011633956	90.88%
Advanced	2289	縁起	90.92070299093132	90.92%
Advanced	2302	咳	90.94759412782489	90.95%
Advanced	2315	膝	90.96882397274088	90.97%
Advanced	2328	連絡	90.99748426337746	91.0%
Advanced	2341	羽織	91.03215967674025	91.03%
Advanced	2354	姉ちゃん	91.066835090103	91.07%
Advanced	2367	腰	91.08664961202459	91.09%
Advanced	2380	入力	91.12061736389016	91.12%
Advanced	2393	鎌倉	91.17050749944272	91.17%
Advanced	2406	何曜	91.20341375906249	91.2%
Advanced	2419	コード	91.21367485077188	91.21%
Advanced	2432	グミ	91.22464360397848	91.22%
Advanced	2445	目的	91.24941175638044	91.25%
Advanced	2458	過去	91.29894806118442	91.3%
Advanced	2471	セーター	91.33220815155279	91.33%
Advanced	2484	マヨネーズ	91.34070008951917	91.34%
Advanced	2497	ロック	91.36405291892676	91.36%
Advanced	2510	ホワイトデー	91.38882107132874	91.39%
Advanced	2523	エリア	91.42314265394292	91.42%
Advanced	2536	揃える	91.4510952830823	91.45%
Advanced	2549	勝手	91.49426263441146	91.49%
Advanced	2562	宿	91.53212252451164	91.53%
Advanced	2575	35	91.59121225952778	91.59%
Advanced	2588	盗む	91.59970419749416	91.6%
Advanced	2601	年寄り	91.61456508893536	91.61%
Advanced	2614	深夜	91.64393304106913	91.64%
Advanced	2627	先輩	91.66834736272253	91.67%
Advanced	2640	bang	91.73026774372748	91.73%
Advanced	2653	タコ	91.78688066350342	91.79%
Advanced	2666	大豆	91.7932496169782	91.79%
Advanced	2679	豆乳	91.8098796621624	91.81%
