video	level	wpm	sps	mean_sentence_length	average_rel_reps	ne_spot	tfp_log_ranks_unique	adv_props	det_props	noun_props	sconj_props	wa_props	gai_props	kan_props	aux_props	num_props	pron_props	verb_props
473	Beginner	80.54060456194334	2.5473833412391627	9.02777777777778	0.0064935064935064	4574	3.912023005428146	0.0181378476420798	0.0084643288996372	0.2357920193470374	0.030229746070133	0.8582089552238806	0.0783582089552238	0.0273631840796019	0.1958887545344619	0.0278113663845223	0.0495767835550181	0.1076178960096735
474	Intermediate	146.39904240462835	4.823443353357126	14.135977337110482	0.0014970059880239	4626	5.54907608489522	0.0492554410080183	0.0057273768613974	0.1947308132875143	0.079495990836197	0.8355751391465677	0.034090909090909	0.1055194805194805	0.2038946162657502	0.0080183276059564	0.0277205040091638	0.1131729667812142
475	Beginner	92.0482178039613	2.9031830724696452	13.952380952380953	0.0071428571428571	2067	3.941438540293107	0.0183727034120734	0.0052493438320209	0.2965879265091863	0.0577427821522309	0.800807537012113	0.0067294751009421	0.1884253028263795	0.1469816272965879	0.0262467191601049	0.0104986876640419	0.1338582677165354
476	Advanced	163.62899959497776	5.285540704738761	20.81142857142857	0.0021186440677966	5847	5.059380104734885	0.0644555694618272	0.0071964956195244	0.1886733416770963	0.0735294117647058	0.8584995251661919	0.0186767964545742	0.1066793289015511	0.1827284105131414	0.0112640801001251	0.0237797246558197	0.123279098873592
477	Beginner	80.19460138104206	2.681000209248797	12.122448979591836	0.0075757575757575	3729	3.736844672470811	0.0176125244618395	0.0019569471624266	0.2348336594911937	0.0430528375733855	0.8196078431372549	0.0411764705882352	0.1176470588235294	0.1878669275929549	0.0117416829745596	0.0234833659491193	0.1604696673189823
478	Advanced	169.64339771144884	5.504177514076407	18.91479820627803	0.0019083969465648	5232	5.206746419959108	0.0553145336225596	0.009761388286334	0.18058568329718	0.0740238611713666	0.8641229755695855	0.0230579192972824	0.1048586329947845	0.1778741865509761	0.0089479392624728	0.0263015184381778	0.1209327548806941
479	Complete Beginner	36.245948870961065	1.2729232043968468	6.22	0.0124999999999999	4031	3.5329450218169915	0.0357142857142857	0.0079365079365079	0.2341269841269841	0.0238095238095238	0.8884462151394422	0.0039840637450199	0.0756972111553784	0.2103174603174603	0.0	0.0238095238095238	0.1865079365079365
480	Beginner	88.55046090416297	3.0420731836229713	11.344086021505376	0.0055555555555555	6194	4.346662293882858	0.0223713646532438	0.0156599552572706	0.2964205816554809	0.0313199105145413	0.7657342657342657	0.0722610722610722	0.1048951048951049	0.1521252796420581	0.0279642058165548	0.0413870246085011	0.0827740492170022
481	Intermediate	117.8369089036147	3.895604835951587	15.625	0.0045662100456621	7974	4.651500382971506	0.0493273542600896	0.0104633781763826	0.2675635276532137	0.0642750373692077	0.8144171779141104	0.0230061349693251	0.1257668711656441	0.1554559043348281	0.0224215246636771	0.0164424514200298	0.1225710014947683
482	Intermediate	105.15519199366972	3.527580565510626	11.33898305084746	0.0040983606557377	11036	4.704984992168086	0.0218978102189781	0.0091240875912408	0.2655109489051095	0.0364963503649635	0.8061224489795918	0.0083487940630797	0.1391465677179963	0.166970802919708	0.0374087591240875	0.0191605839416058	0.1140510948905109
